"count";"username";"datetime";"text"
"817";"aseman.farhangi";"23:19:52 19-12-2020";"@emamreza.hospital"
"818";"me.esh64";"23:19:55 19-12-2020";"عزیزان زحمتکش پرستارهای عزیز روزتون مبارک خدا قوت خیلی فداکارید که توی این کرونا تو خط اول دارید باهاش میجنگید دستتون رو میبوسم"
"819";"aseman.farhangi";"23:20:04 19-12-2020";"@ghaem_hospital_mashhad"
"820";"aseman.farhangi";"23:20:20 19-12-2020";"@behzadvejdanii"
"821";"mojtaba_2007";"23:20:29 19-12-2020";"روزتون مبارك بانوان سرزمينم"
"822";"me.esh64";"23:20:34 19-12-2020";"@banoy_abhaaaa"
"823";"me.esh64";"23:20:38 19-12-2020";"@ali32446"
"824";"me.esh64";"23:20:41 19-12-2020";"@ana.hita1395"
"825";"me.esh64";"23:20:44 19-12-2020";"@ajami.z33"
"826";"aseman.farhangi";"23:20:46 19-12-2020";"@bardiya21896"
"827";"_fatemehaa";"23:20:47 19-12-2020";"روزتون مبارک حافظان سلامت😍❤️"
"828";"kavous.tari";"23:20:50 19-12-2020";"مدافعین سلامت❤️. همیشه سلامت و تندرست باشین🌹 .پرستار عزیز روزت مبارک⁦❤️⁩⁦❤️⁩"
"829";"me.esh64";"23:20:52 19-12-2020";"@a.ghorbani6720"
"830";"_fatemehaa";"23:20:54 19-12-2020";"روزتون مبارک حافظان سلامت😍❤️"
"831";"aseman.farhangi";"23:20:54 19-12-2020";"@d_t_j13"
"832";"me.esh64";"23:21:00 19-12-2020";"@bardia764"
"833";"me.esh64";"23:21:03 19-12-2020";"@fatiii1625"
"834";"me.esh64";"23:21:08 19-12-2020";"@miss_mehr64"
"835";"shadi6699.2";"23:21:19 19-12-2020";"ما را ببخشید که دیدیم ولمس کردیم اینکه همگی در یک جبهه و سنگریم، دیدیم و احساس کردیم ، خستگی و رنجش شما را ، دیدیم و بارها دیدیم مبارزه نفس گیر و تن به تن شما را ، اما پشت کردیم و تنهایتان گذاشتیم همان وقتی که میتوانستیم در خانه بمانیم و نماندیم ..مسافرت رفتیم .جشن گرفتیم پایکوبی کردیم اما نمیدانستیم مرگ را به خانه دعوت میکنیم و یک یک عزیزانمان را فدا میکنیم .ما را ببخشید ای فرشتگان تنها. خداوند یارتان باد😍"
"836";"dorin__gol";"23:21:23 19-12-2020";"@miss_mah_roz"
"837";"aseman.farhangi";"23:21:24 19-12-2020";"@mohammad.hajiabadi72"
"838";"dorin__gol";"23:21:30 19-12-2020";"@roshanaa___talla"
"839";"sky_h_girl_129";"23:21:32 19-12-2020";"فرشته های سفید پوش انسانیت راچه زیبا معنا می کنید ای تجسم خوبیها متشکریم برای همه زحماتتون🙇"
"840";"aseman.farhangi";"23:21:33 19-12-2020";"@seyed.ms2"
"841";"dorin__gol";"23:21:33 19-12-2020";"@tak_mah_banoo"
"842";"dorin__gol";"23:21:37 19-12-2020";"@sama_shomali___"
"843";"aseman.farhangi";"23:21:43 19-12-2020";"@samadihr9"
"844";"aseman.farhangi";"23:21:50 19-12-2020";"@ali.dr1795"
"845";"aseman.farhangi";"23:22:13 19-12-2020";"@ehsanimani8"
"846";"razi.mhi";"23:22:22 19-12-2020";"@azaam___shojaei روزت مبارک زندایی عزیزم💓"
"847";"_.maryam._.banoo._";"23:22:37 19-12-2020";"امیدوارم همیشه خودشون وخانوادشون تنشون سالم باشه و خداقوت پرستارای عزیزومهربون ❤️❤️❤️❤️❤️"
"848";"aseman.farhangi";"23:22:40 19-12-2020";"@ems115.mashhad"
"849";"aseman.farhangi";"23:22:49 19-12-2020";"@ahmadi_emt"
"850";"aseman.farhangi";"23:22:58 19-12-2020";"@ehsan.kh.44"
"851";"nimafilm09183780744";"23:23:03 19-12-2020";"کسی که برای برآوردن نیاز بیماری تلاش ‏کند، خواه نیاز او برآورده شود یا نه، همانند روزی که از مادر متولد شده است از گناهان ‏پاک می ‏گردد. خوش به حالت و روزت مبارک!"
"852";"aseman.farhangi";"23:23:05 19-12-2020";"@emt_i"
"853";"aseman.farhangi";"23:23:12 19-12-2020";"@mosi_haghighi1992"
"854";"aseman.farhangi";"23:23:16 19-12-2020";"@esmail_ems115"
"855";"aseman.farhangi";"23:23:28 19-12-2020";"@akbarie69"
"856";"nasersky67";"23:23:31 19-12-2020";"فداکاران جان برکف بی ادعا روزتان مبارک🍉🍉😍😘"
"857";"aseman.farhangi";"23:23:50 19-12-2020";"@eshaghihassan84"
"858";"_golegandm_";"23:23:54 19-12-2020";"شما به افراد بسیار زیادی کمک کردید و آنها را درمان کردید. اگرچه بسیاری از آن ها فراموش می‌کنند از شما تشکر کنند، اما کاری که شما کردید همیشه در قلب آن ها باقی خواهد ماند. ممنونم.🌹"
"859";"aseman.farhangi";"23:23:55 19-12-2020";"@ali_jangi_sedehi"
"860";"aseman.farhangi";"23:24:10 19-12-2020";"@motieh2.115"
"861";"aseman.farhangi";"23:24:14 19-12-2020";"@ehsan__photography_"
"862";"the.m0n";"23:24:20 19-12-2020";"فقط میتونم بگم خداقوت به همشون"
"863";"aseman.farhangi";"23:24:22 19-12-2020";"@feyzi.emt"
"864";"the.m0n";"23:24:29 19-12-2020";"خدا کمکتون کنهههه قهرمانا"
"865";"the.m0n";"23:24:37 19-12-2020";"زنده باشید خدا قوت"
"866";"the.m0n";"23:24:59 19-12-2020";"خدا کمکتون کنهههه قهرمانا"
"867";"dutty444400";"23:25:07 19-12-2020";"خودم از کادر درمانم ،امیدوارم همه رعایت کنند همکارای من خیلی درگیرن بخدا ،خود من شیفت رادیولوژیم .سه روز مامان بابامو ندیدم😔ممنون میشم از همه هموطنام طاقت بیارن و رعایت کنند🍀"
"868";"the.m0n";"23:25:07 19-12-2020";"خدا قوت قهرمانا"
"869";"the.m0n";"23:25:13 19-12-2020";"خدا کمکتون کنه"
"870";"aseman.farhangi";"23:25:18 19-12-2020";"@farhad_sabaghian"
"871";"the.m0n";"23:25:23 19-12-2020";"زنده و سلامت و تندرست باشید"
"872";"aseman.farhangi";"23:25:27 19-12-2020";"@fzb1368"
"873";"the.m0n";"23:25:31 19-12-2020";"پاینده باشید پرستارا"
"874";"aseman.farhangi";"23:25:37 19-12-2020";"@minf9"
"875";"the.m0n";"23:25:42 19-12-2020";"میلاد حضرت زینب مبارک"
"876";"aseman.farhangi";"23:25:46 19-12-2020";"@hadifattahzade"
"877";"the.m0n";"23:25:54 19-12-2020";"روزگارتون اروم"
"878";"aseman.farhangi";"23:25:56 19-12-2020";"@jafar.azimi2"
"879";"exool_04";"23:26:03 19-12-2020";"مدافع سلامت سلامت باشی"
"880";"aseman.farhangi";"23:26:16 19-12-2020";"@ghaderik3284"
"881";"aseman.farhangi";"23:26:26 19-12-2020";"@ghafourih2"
"882";"setareh.soltanpour2019";"23:26:31 19-12-2020";"وقتی عشق و مهارتت را کنار هم قرار میدهی ، هر روز انتظار یک معجزه را داشته باش .همکاران گرامی روزتون از صمیم قلب مبارک🌹"
"883";"aseman.farhangi";"23:26:48 19-12-2020";"@hoseinirz941.313"
"884";"s.karimi_60290";"23:26:50 19-12-2020";"ای مقاوم‌تر از کوه، ای زیباتر از آینه، ای مهربان‌تر از ماه خستگی هایت قابل ستایش. روزت مبارک 🌹🌹@r.karimi115"
"885";"aseman.farhangi";"23:26:57 19-12-2020";"@hosinzadeh97"
"886";"aseman.farhangi";"23:27:03 19-12-2020";"@hojatems115"
"887";"mrnayythany2020";"23:27:06 19-12-2020";"روز پرستار بر داوران ایران زمین مبارک باشه 💓💓💓💓💓💓💓💓💓💓💓💓💓💓انشاءالله پرستارامون همیشه سالم و پر از انرژی باشند 😍😍😍😍😍"
"888";"aseman.farhangi";"23:27:10 19-12-2020";"@hadi.fattahzade1126"
"889";"mrnayythany2020";"23:27:12 19-12-2020";"👏👏👏👏👏👏👏👏👏💓💓💓💓💓💓💓💓"
"890";"aseman.farhangi";"23:27:17 19-12-2020";"@h_d0011"
"891";"hamid748172018";"23:27:18 19-12-2020";"از صمیم قلب سلامتی را برای پرستاران عزیز ، این حافظان سلامت خواستارم ❤️❤️❤️❤️"
"892";"mrnayythany2020";"23:27:28 19-12-2020";"😍😍😍😍😍😍😍😍😍😍😍😍😍😍روزتون مبارک"
"893";"_solmaz_a";"23:29:14 19-12-2020";"❤️😍❤️ممنونم"
"894";"fariba9410";"23:29:23 19-12-2020";"پرستاری فقط یک هنر نیست بلکه قلب است. پرستاری فقط یک علم نیست، یک وجدان است . از همینجا دست همتونو میبوسم و خدا قوت میگم بهتون❤️❤️"
"895";"fariba9410";"23:29:28 19-12-2020";"@h_a_sh_e_m_l_o_o"
"896";"fariba9410";"23:29:32 19-12-2020";"@atenw_bayat"
"897";"fariba9410";"23:29:34 19-12-2020";"@akram.keshavarz.emami"
"898";"salime_sharifi";"23:29:34 19-12-2020";"@mahgol9093 ♥️♥️♥️"
"899";"fariba9410";"23:29:38 19-12-2020";"@azam_ahmadvand"
"900";"fariba9410";"23:29:41 19-12-2020";"@zahra_jalalzade"
"901";"fariba9410";"23:29:48 19-12-2020";"@h_a_sh_e_m_l_o_o"
"902";"1.lady_ebrahimi";"23:29:48 19-12-2020";"من یک خورده گیج شدم لباس کارمند بانک تن پرستار بود 😳 یا دو شغله بود کارمند بانک بود شیفت اومده بود بیمارستان پرستاری 🤣😂"
"903";"fariba9410";"23:29:51 19-12-2020";"@fariba.bayat6692"
"904";"fariba9410";"23:29:53 19-12-2020";"@jafarhashemloo"
"905";"marziyehh62";"23:30:23 19-12-2020";"پرستارهای گرامی ، تنتون سالم، عمرتون باعزت، دلتون روشن"
"906";"navid.khodae";"23:30:59 19-12-2020";"کارتون عالیه....خسته نباشید و خدا قوت....👍👏"
"907";"negar.johari";"23:32:11 19-12-2020";"مدافعان سلامت خدا قوت."
"908";"sepideh.aza0181";"23:32:13 19-12-2020";"کار هرکس نبود اینکه پرستار شود.--- دل ز دنیا برهد همدل بیمار شود .--عشق میخواهد وآزادگی وقلب صبور .---هرکه آزاده بود عاشق این کار شود."
"909";"sasan_khiltash";"23:32:49 19-12-2020";"یلدای تمام کادر بیمارستانی مبارک🙏🙏🌹🌹"
"910";"karamsimaarsalan";"23:32:59 19-12-2020";"دستانتان حریم پاک کبریایی . ای رهروان زینب کبری دستمریزاد🙏❤️"
"911";"pic_asa";"23:33:26 19-12-2020";"👍🏻👍🏻👍🏻👌"
"912";"modern.monart";"23:33:32 19-12-2020";"الهی تنتون سالم باشه🌱"
